SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SCH_TYPE,LOW_GRADE,HIGH_GRADE,TITLE1_STATUS,MEMBERSHIP,CONTACT_NAME,ADDRESS,ADDRESS2,PO_BOX,CITY,STATE,ZIPCODE,PHONE,FAX,LATITUDE,LONGITUDE,COOP,COOP_CODE
20162017,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,A1,Entry,8th,Title 1 Eligible - Targeted Assistance School,367,Andrew Terry,11400 Ridge Rd,,,Anchorage,KY,40223,(502) 245-2121,(502) 245-2124,38.265763,-85.543599,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District Total---,006,,,,K,8th,,367,Dr. Kelley Ransdell,11400 Ridge Rd,,,Anchorage,KY,40223,(502) 245-8927,(502) 245-2124,38.265704,-85.541848,OVEC,906
20162017,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,A5,6th,12th,Title 1 Eligible - No Program,38,Lucas Shouse,1 Bearcat Drive,,,Lawrenceburg,KY,40342,(502) 839-5118,,38.03293,-84.881516,CKEC,901
20162017,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,A1,9th,12th,Title 1 Eligible - No Program,"1,065",Christopher Glass,1 Bearcat Dr,,,Lawrenceburg,KY,40342,(502) 839-5118,(502) 839-3486,38.023320635,-84.9080647755,CKEC,901
20162017,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,A1,6th,8th,Title 1 Eligible - No Program,874,Jeanna Rose,1 Mustang Trail,,,Lawrenceburg,KY,40342,(502) 839-9261,(502) 839-2534,38.0387316892,-84.9006975324,CKEC,901
20162017,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,A1,1st,5th,Title 1 Eligible - Schoolwide School,477,Mr. Bobby Murphy,1150 BYPASS N,,,Lawrenceburg,KY,40342,(502) 839-4236,(502) 839-2506,38.047489,-84.911785,CKEC,901
20162017,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,A1,Preschool,Entry,Title 1 Eligible - Schoolwide School,177,Ms. Janice Meredith,1154 BYPASS N,,,Lawrenceburg,KY,40342,(502) 839-2504,(502) 839-2533,38.048824,-84.913416,CKEC,901
20162017,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,A1,Entry,5th,Title 1 Eligible - Schoolwide School,547,Mr. Wayne Reese,1411 Fox Creek Road,,,Lawrenceburg,KY,40342,(502) 839-2500,(502) 839-2520,38.0139867044,-84.922784875,CKEC,901
20162017,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,A1,1st,5th,Title 1 Eligible - Schoolwide School,467,Todd WOOLDRIDGE,210 Saffell St,,,Lawrenceburg,KY,40342,(502) 839-3565,(502) 839-2539,38.0319485317,-84.8978255756,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District Total---,011,,,,K,12th,,"3,645",Sheila Mitchell,1160 By Pass North,,,Lawrenceburg,KY,40342,(502) 839-3406,(502) 839-2501,38.047262,-84.911687,CKEC,901
20162017,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,A1,6th,8th,Title 1 Eligible - Schoolwide School,726,David Greene,2800 Kansas St,,,Ashland,KY,41102,(606) 327-2727,(606) 327-2765,38.456244,-82.649855,KEDC,903
20162017,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,A1,Entry,5th,Title 1 Eligible - Schoolwide School,288,Dr. Lowell Thornbury,1100 Russell St,,,Ashland,KY,41101,(606) 327-2735,(606) 327-2763,38.450253,-82.62394,KEDC,903
20162017,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,A1,Entry,5th,Title 1 Eligible - Schoolwide School,287,Mr. James Campbell,520 17th St,,,Ashland,KY,41101,(606) 327-2730,(606) 327-2759,38.475661,-82.64009,KEDC,903
20162017,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,A1,Entry,5th,Title 1 Eligible - Schoolwide School,339,Phillip Caudill,1600 Blackburn Ave,,,Ashland,KY,41101,(606) 327-2731,(606) 327-2788,38.462921,-82.657692,KEDC,903
20162017,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,A1,Entry,5th,Title 1 Eligible - Schoolwide School,326,Mrs. Rebecca Howell,3111 Blackburn Ave,,,Ashland,KY,41101,(606) 327-2733,(606) 327-2756,38.455073,-82.643467,KEDC,903
20162017,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,A1,9th,12th,Title 1 Eligible - No Program,861,Derek Runyon,1500 Blazer Blvd,,,Ashland,KY,41102,(606) 327-6040,(606) 324-0517,38.454541,-82.663218,KEDC,903
20162017,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,A1,Entry,5th,Title 1 Eligible - Schoolwide School,258,Ms. Katie Holbrook,3215 S 29th St,,,Ashland,KY,41102,(606) 327-2734,(606) 327-2770,38.453768,-82.654893,KEDC,903
20162017,010,BOYD,012,Ashland Independent,,---District Total---,012,,,,K,12th,,"3,085",Derek Howard,1420 Central Ave,,,Ashland,KY,41101,(606) 327-2706,(606) 327-2705,38.477459,-82.655943,KEDC,903
20162017,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,A1,Preschool,12th,Title 1 Eligible - Schoolwide School,282,Mr. Robin Kelsch,207 Bracken St,,,Augusta,KY,41002,(606) 756-2105,(606) 756-3000,38.773646,-84.003661,KEDC,903
20162017,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,,K,12th,,282,Ms. Lisa McCane,307 Bracken St,,,Augusta,KY,41002,(606) 756-2545,(606) 756-2149,38.773410,-84.003400,KEDC,903
20162017,004,BALLARD,015,Ballard County,905,Ballard County Career and Technology Ctr,015905,004015905,210021002404,A2,9th,12th,Not a Title 1 School,308,Leslee Davis,11 Vocational School Rd,,,Barlow,KY,42024,(270) 665-8400,(270) 665-5006,37.068838801,-88.985904602,WKEC,908
20162017,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,A1,Entry,5th,Title 1 Eligible - Schoolwide School,544,Mrs. Stephanie Wood,3383 Paducah Rd,,,Barlow,KY,42024,(270) 665-8400,(270) 665-9168,37.067183,-88.991159,WKEC,908
20162017,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,A1,6th,8th,Title 1 Eligible - Schoolwide School,288,Ms. Amber Parker,3561 Paducah Rd,,,Barlow,KY,42024,(270) 665-8400,(270) 665-5153,37.068172,-88.987398,WKEC,908
20162017,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,A1,9th,12th,Title 1 Eligible - No Program,398,Leslee Davis,3561 Paducah Rd,,,Barlow,KY,42024,(270) 665-8400,(270) 665-5312,37.068001,-88.988021,WKEC,908
20162017,004,BALLARD,015,Ballard County,,---District Total---,015,,,,K,12th,,"1,230",Mr. Casey Allen,3465 Paducah Rd,,,Barlow,KY,42024,(270) 665-8400,(270) 665-9844,37.067632031,-88.989070802,WKEC,908
20162017,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,A1,Preschool,12th,Title 1 Eligible - Schoolwide School,667,Curtis Middleton,140 School St,,,Barbourville,KY,40906,(606) 546-3129,(606) 546-3337,36.871216,-83.89349,SESC,907
20162017,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,,K,12th,,667,Mrs. Lenora Dixon,140 School St,,,Barbourville,KY,40906,(606) 546-3120,(606) 546-3452,36.871119,-83.894271,SESC,907
20162017,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,A5,6th,12th,Not a Title 1 School,31,Franseda Gunn,1345 Templin Av,,,Bardstown,KY,40004,(502) 331-8829,,37.825316,-85.481457,CKEC,901
20162017,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,A1,3rd,5th,Title 1 Eligible - No Program,631,Paul Bowling,420 N 5th St,,,Bardstown,KY,40004,(502) 331-8801,(502) 331-8831,37.814488,-85.470714,CKEC,901
20162017,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,A1,9th,12th,Title 1 Eligible - No Program,575,Christopher Pickett,400 N 5th St,,,Bardstown,KY,40004,(502) 331-8802,(502) 331-8832,37.814849,-85.469137,CKEC,901
20162017,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,A1,6th,8th,Title 1 Eligible - No Program,576,Ryan Clark,410 N 5th St,,,Bardstown,KY,40004,(502) 331-8803,(502) 331-8833,37.815434,-85.469952,CKEC,901
20162017,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,A1,Entry,2nd,Title 1 Eligible - Schoolwide School,636,Ms. Michelle Ryan,1000 Templin Ave,,,Bardstown,KY,40004,(502) 331-8810,(502) 331-8834,37.823739,-85.474119,CKEC,901
20162017,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,,K,12th,,"2,449",Mr. Brent Holsclaw,308 N Fifth St,,,Bardstown,KY,40004,(502) 331-8800,(502) 331-8830,37.813544,-85.469603,CKEC,901
20162017,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,221,Mr. Joey Bunch,2477 Austin Tracy Rd,,,Lucas,KY,42156,(270) 646-2236,(270) 646-2292,36.830252,-86.03224,GRREC,902
20162017,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,A5,6th,12th,Not a Title 1 School,255,Mr. Richard Harper,113 West Public Square,,,Glasgow,KY,42141,(270) 670-3301,(270) 651-8836,36.995768813,-85.913593098,GRREC,902
20162017,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,A1,9th,12th,Title 1 Eligible - No Program,"1,230",Mr. Brad Johnson,507 Trojan Trail,,,Glasgow,KY,42141,(270) 651-6315,(270) 651-9211,36.975503,-85.919476,GRREC,902
20162017,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,A1,7th,8th,Title 1 Eligible - No Program,691,Ms. Lori Downs,555 Trojan Trail,,,Glasgow,KY,42141,(270) 651-4909,(270) 651-5137,36.975174,-85.923374,GRREC,902
20162017,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,A6,6th,12th,Not a Title 1 School,69,Daniel Belding,304 E College Street,,,Glasgow,KY,42142,(270) 629-6554,(270) 629-2267,36.991976,-85.910581,GRREC,902
20162017,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,370,Will Compton,4601 New Salem Rd,,,Glasgow,KY,42141,(270) 678-2722,(270) 678-5885,36.982266,-85.832423,GRREC,902
20162017,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,220,Mrs. Shari Alexander,149 Cardinal Blvd,,,Glasgow,KY,42141,(270) 453-2611,(270) 453-2612,37.099519,-85.819591,GRREC,902
20162017,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,515,Mrs. Glenda Kinslow London,2002 North Jackson Highway,,,Glasgow,KY,42141,(270) 629-2300,(270) 629-2301,37.019622,-85.905006,GRREC,902
20162017,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,376,Mr. Anthony Janes,45 Indian Mill Rd,,,Park City,KY,42160,(270) 749-5665,(270) 749-5074,37.096552,-86.046232,GRREC,902
20162017,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,611,Mr. Michael Davis,215 Parkview Dr,,,Glasgow,KY,42141,(270) 659-2400,(270) 659-0052,36.986102,-85.939768,GRREC,902
20162017,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,A1,Preschool,6th,Title 1 Eligible - Schoolwide School,272,Mr. Jonathan Hall,8788 Tompkinsville Rd,,,Glasgow,KY,42141,(270) 427-2611,(270) 427-4176,36.886768,-85.846938,GRREC,902
20162017,005,BARREN,021,Barren County,,---District Total---,021,,,,K,12th,,"4,830",Bo Matthews,202 W Washington St,,,Glasgow,KY,42141,(270) 651-3787,(270) 651-8836,36.995479612,-85.913711115,GRREC,902
20162017,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,A1,9th,12th,Title 1 Eligible - Schoolwide School,574,Melanie Erwin,645 Chenault Dr,,,Owingsville,KY,40360,(606) 674-6325,(606) 674-9188,38.13713,-83.77687,KEDC,903
20162017,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,A1,6th,8th,Title 1 Eligible - Schoolwide School,480,Mr. Roger Neace,335 W Main St,,,Owingsville,KY,40360,(606) 674-8165,(606) 674-2676,38.143288,-83.769992,KEDC,903
20162017,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,440,Lorinda Rae Jamison,4755 E Hwy 60,,,Owingsville,KY,40360,(606) 674-2101,(606) 674-2080,38.132788,-83.688928,KEDC,903
20162017,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,525,Mr. Mark Leet,50 Chenault Drive,,,Owingsville,KY,40360,(606) 674-2722,(606) 674-6621,38.14194,-83.775373,KEDC,903
20162017,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,A5,6th,12th,Not a Title 1 School,7,Kim Biddle,39 Cedar Creek Dr,,,Owingsville,KY,40360,(606) 336-4678,(606) 674-2647,38.128399696,-83.755205268,KEDC,903
20162017,006,BATH,025,Bath County,,---District Total---,025,,,,K,12th,,"2,026",Mr. Harvey Tackett,405 W Main St,,,Owingsville,KY,40360,(606) 674-6314,(606) 674-2647,38.142837,-83.771186,KEDC,903
20162017,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,A1,Preschool,6th,Title 1 Eligible - Targeted Assistance School,712,Zachary Ashley,54 Beechwood Rd,,,Fort Mitchell,KY,41017,(859) 331-1220,(859) 426-3743,39.048681,-84.555601,NKCES,905
20162017,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,A1,7th,12th,Not a Title 1 School,650,Mr. Justin Kaiser,54 Beechwood Rd,,,Fort Mitchell,KY,41017,(859) 331-1220,(859) 426-3744,39.049241202,-84.555530176,NKCES,905
20162017,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,A6,1st,12th,Title 1 Eligible - Targeted Assistance School,39,Zachary Ashley,75 Orphanage Road,,,Fort Mitchell,KY,41017,(859) 331-2040,(859) 344-5022,39.02886,-84.552239,NKCES,905
20162017,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,,K,12th,,"1,401",Dr. Mike Stacy,50 Beechwood Rd,,,Fort Mitchell,KY,41017,(859) 331-3250,(859) 331-7528,39.048624793,-84.555672011,NKCES,905
20162017,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,A1,Preschool,8th,Title 1 Eligible - Schoolwide School,516,Jennifer Blankenship,9821 US 25-E,,,Pineville,KY,40977,(606) 337-3104,(606) 337-0808,36.710755,-83.697248,SESC,907
20162017,007,BELL,031,Bell County,340,Bell County Alternative School,031340,007031340,210039000002,A5,4th,12th,Not a Title 1 School,38,Richard T Robbins,9828 US Hwy 25E Second Floor,,,Pineville,KY,40977,(606) 337-0957,(606) 337-7103,36.729181,-83.660247,SESC,907
20162017,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,A1,9th,12th,Title 1 Eligible - No Program,748,Richard Gambrel,9824 US Highway 25 E,,,Pineville,KY,40977,(606) 337-7061,(606) 337-0867,36.713006,-83.691812,SESC,907
20162017,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,A1,Preschool,8th,Title 1 Eligible - Schoolwide School,132,Terry Wilson,29 Henderson Settlement Loop,,,Frakes,KY,40940,(606) 337-2921,(606) 337-2928,36.640623,-83.931309,SESC,907
20162017,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,A1,Preschool,8th,Title 1 Eligible - Schoolwide School,190,Paul Crawford,101 Creech Hollow Road,,,Fourmile,KY,40939,(606) 337-9461,(606) 337-8136,36.788875,-83.747364,SESC,907
20162017,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,A1,Preschool,8th,Title 1 Eligible - Schoolwide School,373,William Lefevers,239 Page School Road,,,Pineville,KY,40977,(606) 337-5207,(606) 337-9534,36.729426,-83.640989,SESC,907
20162017,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,A1,Preschool,8th,Title 1 Eligible - Schoolwide School,203,Renee Howard,5296 Hwy. 221,,,Stoney Fork,KY,40988,(606) 337-3271,(606) 337-5180,36.794233,-83.586222,SESC,907
20162017,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,A1,Preschool,8th,Title 1 Eligible - Schoolwide School,520,Mrs. Barbara Warren,4840 West Cumberland Avenue,,,Middlesboro,KY,40965,(606) 248-1794,(606) 248-6399,36.612564,-83.758852,SESC,907
20162017,007,BELL,031,Bell County,,---District Total---,031,,,,K,12th,,"2,720",Ms. Yvonne Gilliam,211 Virginia Ave,,,Pineville,KY,40977,(606) 337-7051,(606) 337-1412,36.761823,-83.695511,SESC,907
20162017,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,A1,6th,12th,Title 1 Eligible - Schoolwide School,362,Mr. John Darnell,201 Center St,,,Bellevue,KY,41073,(859) 261-2980,(859) 261-1825,39.102161,-84.481994,NKCES,905
20162017,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,329,Angela Young,500 Grandview Avenue,,,Bellevue,KY,41073,(859) 261-4355,(859) 261-1707,39.101849,-84.475994,NKCES,905
20162017,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,,K,12th,,691,Robert Smith,219 Center St,,,Bellevue,KY,41073,(859) 261-2108,(859) 261-1708,39.102331,-84.481633,NKCES,905
20162017,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,513,Mrs. Paula Gordon,2 Pirate Pkwy,,,Berea,KY,40403,(859) 986-4065,(859) 986-0727,37.578553,-84.293736,SESC,907
20162017,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,A1,9th,12th,Title 1 Eligible - Schoolwide School,335,Donna Lovell,1 Pirate Pkwy,,,Berea,KY,40403,(859) 986-4911,(859) 986-4640,37.57857,-84.293647,SESC,907
20162017,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,A1,6th,8th,Title 1 Eligible - Schoolwide School,244,Donna Lovell,1 Pirate Pkwy,,,Berea,KY,40403,(859) 986-4911,(859) 986-4640,37.578545,-84.293695,SESC,907
20162017,073,MADISON,034,Berea Independent,,---District Total---,034,,,,K,12th,,"1,092",Mr. Michael Hogg,3 Pirate Pkwy,,,Berea,KY,40403,(859) 986-8446,(859) 986-1839,37.577511,-84.294568,SESC,907
20162017,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,538,Renee Turner,10 Yealey Dr,,,Florence,KY,41042,(859) 282-3333,(859) 282-3337,38.987751,-84.65965,NKCES,905
20162017,008,BOONE,035,Boone County,170,Boone County Alternative Center,035170,008035170,210051002266,A5,6th,12th,Title 1 Eligible - No Program,326,Joseph Hibbett,99 Center Dr.,,,Florence,KY,41042,(859) 283-1003,,39.001604,-84.629902,NKCES,905
20162017,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,A1,9th,12th,Title 1 Eligible - No Program,"1,321",Timothy Joseph Schlotman,7056 Burlington Pk,,,Florence,KY,41042,(859) 282-5655,(859) 282-5649,39.006226,-84.631017,NKCES,905
20162017,008,BOONE,035,Boone County,040,Burlington Elementary School,035040,008035040,210051000082,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,839,Mrs. Kimberly Gilbert,5946 Orient St,,,Burlington,KY,41005,(859) 334-4440,(859) 334-4446,39.029569,-84.720224,NKCES,905
20162017,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,A1,6th,8th,Not a Title 1 School,"1,038",Stephanie Hagerty,6515 Camp Ernst Rd,,,Burlington,KY,41005,(859) 534-4000,(859) 534-4001,39.012135,-84.705235,NKCES,905
20162017,008,BOONE,035,Boone County,041,Charles H. Kelly Elementary School,035041,008035041,210051001519,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,241,Kathleen Gutzwiller,6775 Mcville Rd,,,Burlington,KY,41005,(859) 334-4450,(859) 334-4454,38.982935,-84.827006,NKCES,905
20162017,008,BOONE,035,Boone County,055,Chester Goodridge Elementary School,035055,008035055,210051000086,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,751,Jennifer Patrick,3330 Cougar Path,,,Hebron,KY,41048,(859) 334-4420,(859) 334-4422,39.061908,-84.692261,NKCES,905
20162017,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,A1,9th,12th,Not a Title 1 School,"1,393",Tim Hitzfield,3310 Cougar Path,,,Hebron,KY,41048,(859) 334-4400,(859) 334-4406,39.060742,-84.69674,NKCES,905
20162017,008,BOONE,035,Boone County,043,Conner Middle School,035043,008035043,210051000083,A1,6th,8th,Not a Title 1 School,"1,145",James Brewer II,3300 Cougar Path,,,Hebron,KY,41048,(859) 334-4410,(859) 334-4435,39.06054,-84.699965,NKCES,905
20162017,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,A1,Preschool,5th,Not a Title 1 School,680,Patrick Berry,US 42 9001 Wetherington Blvd,,,Florence,KY,41042,(859) 384-7200,(859) 384-5376,38.966467,-84.666856,NKCES,905
20162017,008,BOONE,035,Boone County,050,Florence Elementary School,035050,008035050,210051000085,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,559,Mrs. Lisa Resing,103 Center St,,,Florence,KY,41042,(859) 282-2610,(859) 282-2615,39.000607,-84.629821,NKCES,905
20162017,008,BOONE,035,Boone County,075,Gray Middle School,035075,008035075,210051000638,A1,6th,8th,Not a Title 1 School,"1,063",Todd Novak,10400 Us 42,,,Union,KY,41091,(859) 384-5333,(859) 384-5318,38.929905,-84.679949,NKCES,905
20162017,008,BOONE,035,Boone County,065,Hillard Collins Elementary School,035065,008035065,210051001608,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,823,Thomas Wayne Loring,9000 Spruce Dr,,,Florence,KY,41042,(859) 282-2350,(859) 282-2356,38.990028,-84.615818,NKCES,905
20162017,008,BOONE,035,Boone County,014,Imagineering Academy,035014,008035014,,A5,9th,12th,Not a Title 1 School,45,Mr. Jerome Gels,99 Center Street,,,Florence,KY,41042,(859) 282-2163,,39.001008,-84.629641,NKCES,905
20162017,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,A1,9th,12th,Not a Title 1 School,"1,800",Matthew Turner,10379 Us 42,,,Union,KY,41091,(859) 384-5300,(859) 384-5312,38.932872,-84.677598,NKCES,905
