SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,FINANCE_TYPE,FINANCE_LABEL,FINANCE_VALUE,FINANCE_RANK,COOP,COOP_CODE
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Building Fund - Local,"$382,797",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Transportation SEEK Funding,"$963,439",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Actual Transportation Expenditures,"$1,975,622",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Percent of Actual Transportation Expenditures Funded by SEEK,48.77%,101,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,TAX,Assessment,"$765,594,471",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,TAX,Assessment per Pupil,"$319,576",118,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,TAX,Real Estate Tax,51.6,115,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,TAX,Tangible / Personal Property Tax,51.6,116,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,TAX,Levied Equivalent Rate,63.2,107,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,TAX,30-cent Local Effort,"$2,296,783",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,SEEK Average Daily Attendance (SEEK ADA),"2,698.24",58,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,Average Daily Membership (ADM),"2,945.37",57,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,Average Daily Attendance (ADA) no adjustments,"2,774.82",59,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,Fund Balance,"$2,590,206",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,Fund Balance Percentage,13.24%,121,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,4% or Above Adopted Rate,No,,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,FTE Certified Staff,225.8,59,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,FTE Certified Staff - Teachers,188.1,57,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,FTE Classified Staff,193.5,67,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,Percent of Salaries and Benefits to Total Expenditures,87.71%,15,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,FINANCIAL SUMMARY,Bonding Capacity to Revenue Ratio,,1,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Federal Revenue,"$4,728,118",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Local Revenue,"$6,056,652",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,State Revenue,"$21,369,883",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Total Revenue,"$40,526,308",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue,"$8,371,655",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,State Revenue per Pupil,"$7,701",85,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Total Revenue per Pupil,"$14,605",55,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue per Pupil,"$3,017",25,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Federal Revenue per Pupil,"$1,704",80,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Local Revenue per Pupil,"$2,183",134,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Operations and Maintenance,"$2,506,153",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Student Support,"$1,164,449",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Transportation,"$1,770,694",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Instructional Staff Support,"$903,045",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Instruction,"$16,739,681",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Enterprise Operations,"$2,194,467",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Total Expenditures,"$35,739,791",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Administration,"$3,000,964",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Capital Outlay and Debt,"$7,460,338",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Operations and Maintenance per Pupil,$903,117,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Instructional Staff Support per Pupil,$325,140,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Instruction per Pupil,"$6,033",122,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Enterprise Operations per Pupil,$791,119,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Capital Outlay and Debt per Pupil,"$2,689",54,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Administration per Pupil,"$1,081",134,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Student Support per Pupil,$420,118,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Total Expenditures per Pupil,"$12,880",100,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Expenditures on Transportation per Pupil,$638,96,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,REVENUES AND EXPENDITURES,Percent of Administrative to Total Expenditures,8.4%,118,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SALARIES,Average Teacher Salary,"$49,742",68,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SALARIES,Average Principal Salary,"$78,032",125,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SALARIES,Total Substitute Teacher Expenditures,"$223,357",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SALARIES,Substitute Teacher Expenditures Per Pupil,$80.00,116,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Net General Fund SEEK,"$12,875,954",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Capital Outlay,"$269,824",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Net General Fund SEEK per Pupil,"$4,772",73,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Building Fund - State,"$1,159,258",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Building Fund - Local,"$953,464",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Transportation SEEK Funding,"$1,063,434",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Actual Transportation Expenditures,"$1,770,694",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,SEEK,Percent of Actual Transportation Expenditures Funded by SEEK,60.06%,45,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,TAX,Assessment,"$953,464,963",,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,TAX,Assessment per Pupil,"$353,365",105,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,TAX,Real Estate Tax,57.3,96,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,TAX,Tangible / Personal Property Tax,57.6,97,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,TAX,Levied Equivalent Rate,56.3,146,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District---,005,,,TAX,30-cent Local Effort,"$2,860,395",,GRREC,902
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,SEEK Average Daily Attendance (SEEK ADA),345.07,166,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,Average Daily Membership (ADM),367.52,167,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,Average Daily Attendance (ADA) no adjustments,356.53,166,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,Fund Balance,"$3,246,158",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,Fund Balance Percentage,54.22%,3,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,4% or Above Adopted Rate,No,,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,FTE Certified Staff,43.8,160,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,FTE Certified Staff - Teachers,35.8,160,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,FTE Classified Staff,29.7,161,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,Percent of Salaries and Benefits to Total Expenditures,78.36%,167,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,FINANCIAL SUMMARY,Bonding Capacity to Revenue Ratio,,1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Total Revenue,"$8,039,333",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,State Revenue,"$1,971,279",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Local Revenue,"$5,611,281",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Federal Revenue,"$145,435",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue,"$311,338",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Total Revenue per Pupil,"$22,549",6,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,State Revenue per Pupil,"$5,529",168,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Local Revenue per Pupil,"$15,739",1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Federal Revenue per Pupil,$408,172,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue per Pupil,$873,65,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Total Expenditures,"$7,707,343",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Transportation,$0,,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Instructional Staff Support,"$904,120",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Operations and Maintenance,"$1,013,393",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Student Support,"$163,504",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Administration,"$1,552,666",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Capital Outlay and Debt,"$239,999",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Enterprise Operations,"$241,006",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Instruction,"$3,592,655",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Enterprise Operations per Pupil,$676,153,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Operations and Maintenance per Pupil,"$2,842",1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Student Support per Pupil,$459,99,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Transportation per Pupil,$0,172,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Capital Outlay and Debt per Pupil,$673,153,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Instruction per Pupil,"$10,077",1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Instructional Staff Support per Pupil,"$2,536",1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Expenditures on Administration per Pupil,"$4,355",2,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Total Expenditures per Pupil,"$21,618",6,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,REVENUES AND EXPENDITURES,Percent of Administrative to Total Expenditures,20.2%,2,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SALARIES,Average Teacher Salary,"$63,083",1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SALARIES,Average Principal Salary,"$118,951",2,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SALARIES,Total Substitute Teacher Expenditures,"$54,654",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SALARIES,Substitute Teacher Expenditures Per Pupil,$153.00,10,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Net General Fund SEEK,"$606,251",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Capital Outlay,"$34,507",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Net General Fund SEEK per Pupil,"$1,757",173,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Building Fund - State,$0,,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Building Fund - Local,"$231,795",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Transportation SEEK Funding,$0,,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Actual Transportation Expenditures,$0,,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,SEEK,Percent of Actual Transportation Expenditures Funded by SEEK,0.00%,170,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,TAX,Assessment,"$463,589,764",,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,TAX,Assessment per Pupil,"$1,343,458",1,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,TAX,Real Estate Tax,98.2,10,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,TAX,Tangible / Personal Property Tax,98.2,10,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,TAX,Levied Equivalent Rate,111.5,6,OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District---,006,,,TAX,30-cent Local Effort,"$1,390,769",,OVEC,906
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,SEEK Average Daily Attendance (SEEK ADA),"3,323.63",45,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,Average Daily Membership (ADM),"3,637.17",45,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,Average Daily Attendance (ADA) no adjustments,"3,415.93",45,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,Fund Balance,"$2,514,059",,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,Fund Balance Percentage,11.31%,133,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,4% or Above Adopted Rate,Yes,,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,FTE Certified Staff,258.8,49,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,FTE Certified Staff - Teachers,216.0,49,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,FTE Classified Staff,205.1,62,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,Percent of Salaries and Benefits to Total Expenditures,88.98%,6,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,FINANCIAL SUMMARY,Bonding Capacity to Revenue Ratio,,1,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue,"$7,527,786",,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Federal Revenue,"$4,027,300",,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Local Revenue,"$12,278,734",,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,State Revenue,"$21,837,416",,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Total Revenue,"$45,671,236",,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue per Pupil,"$2,204",40,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Federal Revenue per Pupil,"$1,179",138,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Local Revenue per Pupil,"$3,595",60,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,State Revenue per Pupil,"$6,393",150,CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District---,011,,,REVENUES AND EXPENDITURES,Total Revenue per Pupil,"$13,370",84,CKEC,901
